name,image_url,brand,product_source_url,description,price,giftsource_url
Vitruvi stone diffuser,https://media.gq.com/photos/6427378b71f2881457441d66/1:1/w_320%2Cc_limit/Layer_6.jpg,Nordstrom,https://www.nordstrom.com/s/stone-essential-oil-diffuser/4632548?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FVitruvi&color=101,Give their new apartment an aromatic makeover.,,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2M3ThmKFuXtVk8SEBZsiDb7CnZ7V9MMnyw52CEWJD8NzA9x6TztRVQUiqh9SGpHb7zk55TrdrzWzBxc5rC8Cs2QyoBT9nHuH68NcscqC39ZKSWht3pW4NDwp7UgME3P34
Beast blender & hydration system,https://media.gq.com/photos/6427378e71f2881457441d68/1:1/w_320%2Cc_limit/Layer_10.jpg,Beast,https://thebeast.com/products/b10-full-system?variant=38188041568447,"The best smoothie, we've always maintained, is the one you make at home. Beast's blender can do it all—its compact build takes up less counter space than its competitors, it's powerful enough to chop any food ingredients you throw its way, and it boasts a portable bottle to take the finished product on the go. Oh, and the super photogenic design doesn't hurt either.",,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2M3ThmKFuXss7rrd7GzG47jAMVVv4k9c5M5B4t2nBfFiLKarm3NymZg9qNCKRc23VRznqjWtBM2s1wH2oJzXDzxZW1YepLUrdXd7VZFpLSwr29EbLi368q7Hf8MaWHQk6
Fujifilm Instax SQ1 instant camera,https://media.gq.com/photos/64273b9e3c48a90834709088/1:1/w_320%2Cc_limit/Layer_12.jpg,Amazon,https://www.amazon.com/Fujifilm-Instax-Square-Instant-Camera/dp/B08G6B6V4X,So they can document it all.,,https://cna.st/p/meh9fHuiYWLiq2ApevzNDgtCsvF3tH62Na8o3gb1hkTXLgyJjkW7yDmrpbwjHdwcqLj7ByRXdQvDZhEidC2CSqNuuSc7vpHUDXDgL3nDWpjgXdZwM89Lm3NXMVphSDsCUSrpkQUARsqqogR6L4ttwNLyN2qv38trxVeUR2zf8
Bose portable home Bluetooth speaker,https://media.gq.com/photos/64273ba19c091f9746f4be6d/1:1/w_320%2Cc_limit/Layer_15.jpg,Amazon,https://www.amazon.com/Bose-Portable-Home-Speaker-Built/dp/B07VFKBQ3K?th=1,"Now that they're out of the house, they can play their music as loud as they want to.",,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2K1CD9xBrtzDKMJeNeQhBqKowCChbLTBWMqp6v6UZGE4axXsLwzjCu3RZmujHVuacU7aPzY17q9gz31Ppg97XDCrVA9LpGfjx7uM1CFGSbaekcijLzQ9wxY2Ue1aN6RuG
Our Place home cook duo,https://media.gq.com/photos/64273ba13c48a9083470908b/1:1/w_320%2Cc_limit/Layer_18.jpg,Our Place,https://fromourplace.com/products/home-cook-duo?perfect-pot=sage&pan=sage,A cookware twofer that handles most of the cooking needs you could conceivably have in a tiny apartment.,,https://cna.st/p/meh9fHuiYWLiq2ApevzNDgtCsvF3tH62Na8o3gb1hkTXLgyJjkW7yDmrpcCYyRc8Cr5c8BeUdLNcDUBbMVn4k8LohzSKKmBCH2d8hoc1XNr8Dnx2J4mDYFjwPnjFYPomHFE2V9DiXEoKeLWfR2TiBezgW8eor7VkoqkHYYsbk
Trade Coffee subscription,https://media.gq.com/photos/64273da9065275fa16fc621f/1:1/w_320%2Cc_limit/Layer_2.jpg,Trade Coffee,https://www.drinktrade.com/,"For those last minute deadlines and adrenaline-fueled days, they'll always need more coffee. This subscription of the good stuff ensures that their bean supplies are always topped up.",,https://cna.st/p/meh9fHuiYWLiq2ApevzNDgtCsvF3tH62Na8o3gb1hkTXLgyJjkW7yDmrpbyzQ9eNtJusbzrDU6Qi12nGYVnN34nnQvTTP8EbaubkYai8uqCinHqNAAspZfZxbqMesuXY56tKpqWWrpHwFJTUW8LLC2xgoru3Vm8arFTnbdRMg
Smythson passport cover,https://media.gq.com/photos/64273dab3c48a9083470908d/1:1/w_320%2Cc_limit/Layer_5.jpg,Smythson,https://www.smythson.com/us/navy-passport-cover-in-mara-1029905.html?cgid=9A14,For all of the stamps they'll rack up on their post-grad adventures.,,https://cna.st/p/meh9fHuiYWLiq2ApevzNDgtCsvF3tH62Na8o3gb1hkTXLgyJjkW7yDmrpbwjHdwcqLj7ByRXdQvDZhESGNVPxy8A3Vu852EuaTXUbYrNnZF2HUKZ61hR8VRCne3HZAje58r6ZiEZ2JzmYAyoWKvGMhEcfmge8xdtSS1awQJkv
Artifact Uprising everyday photo book,https://media.gq.com/photos/64273dadc74f024305c7f00f/1:1/w_320%2Cc_limit/Layer_8.jpg,Artifact Uprising,https://www.artifactuprising.com/photo-books/everyday-photo-book,"If you're going the sentimental route, Artifact Uprising makes some of the best-looking scrapbooks for stuffing with all the school photos and memorabilia.",,https://cna.st/p/meh9fHuiYWLiq2ApevzNDgtCsvF3tH62Na8o3gb1hkTXLgyJjkW7yDmrpcA19Nqr1iUv1KDcF2Pq3wNMrwdoVdDDmNX2djePUsWuegPY6ztm3mkCS7V3e3wULgURbSosuRRXPWZTfWCq3DjjsTVdN3X4CpfyqQtn43picPb8J
"East Fork ""you're all set"" 7-piece set",https://media.gq.com/photos/642740a171f2881457441d78/1:1/w_320%2Cc_limit/Layer_3.jpg,East Fork,https://www.eastfork.com/products/7-piece-set?variant=39278858305615,All of the sleek ceramics that a person wants to pad out their dorm or first sublet.,,https://cna.st/p/meh9fHuiYWLiq2ApevzNDgtCsvF3tH62Na8o3gb1hkTXLgyJjkW7yDmrpcQm4uYqg9rUXxNUTTpZz45WZZvQDqwoostdf8GaqACqhG5EkRDaH9bwuZToSH2yKGaACRk2g9vN5jB3XYsCY7vngSFHdyc9nW8TNc44vfnVmJ5We
"'Atomic Habits,' by James Clear",https://media.gq.com/photos/642740a257a6294c1b82d31e/1:1/w_320%2Cc_limit/Layer_5.jpg,Amazon,https://www.amazon.com/Atomic-Habits-Proven-Build-Break/dp/0735211299,Some would say it's life-changing for getting your shit together.,,https://cna.st/p/meh9fHuiYWLiq2ApevzNDgtCsvF3tH62Na8o3gb1hkTXLgyJjkW7yDmrpcQcgsau6cgxooME4eXA6QsGwXtLTuVAfK8yEMWkzYwx1xwTGWzSuf3cXafMoVQ2kaCt5gKqVxNqUNY6sUA41s6wFt3qXd7QomSDdyGG7EugTDRjk
name,image_url,brand,product_source_url,description,price,giftsource_url
Vitruvi stone diffuser,https://media.gq.com/photos/6427378b71f2881457441d66/1:1/w_320%2Cc_limit/Layer_6.jpg,Nordstrom,https://www.nordstrom.com/s/stone-essential-oil-diffuser/4632548?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FVitruvi&color=101,Give their new apartment an aromatic makeover.,,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2M3ThmKFuXtVk8SEBZsiDb7CnZ7V9MMnyw52CEWJD8NzA9x6TztRVQUiqh9SGpHb7zk55TrdrzWzBxc5rC8Cs2QyoBT9nHuH68NcscqC39ZKSWht3pW4NDwp7UgME3P34
Beast blender & hydration system,https://media.gq.com/photos/6427378e71f2881457441d68/1:1/w_320%2Cc_limit/Layer_10.jpg,Beast,https://thebeast.com/products/b10-full-system?variant=38188041568447,"The best smoothie, we've always maintained, is the one you make at home. Beast's blender can do it all—its compact build takes up less counter space than its competitors, it's powerful enough to chop any food ingredients you throw its way, and it boasts a portable bottle to take the finished product on the go. Oh, and the super photogenic design doesn't hurt either.",,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2M3ThmKFuXss7rrd7GzG47jAMVVv4k9c5M5B4t2nBfFiLKarm3NymZg9qNCKRc23VRznqjWtBM2s1wH2oJzXDzxZW1YepLUrdXd7VZFpLSwr29EbLi368q7Hf8MaWHQk6
