brand,description,giftsource_url,id,image_url,name,price,product_source_url,start_url
Nordstrom,Give their new apartment an aromatic makeover.,https://www.gq.com/gallery/best-graduation-gift-ideas,6d397acb-c59b-440e-aea3-2ab3123a4b67,https://media.gq.com/photos/6427378b71f2881457441d66/1:1/w_320%2Cc_limit/Layer_6.jpg,Vitruvi stone diffuser,123,https://www.nordstrom.com/s/stone-essential-oil-diffuser/4632548?origin=category-personalizedsort&breadcrumb=Home%2FBrands%2FVitruvi&color=101,https://www.gq.com/gallery/best-graduation-gift-ideas
Beast,"The best smoothie, we've always maintained, is the one you make at home. Beast's blender can do it all—its compact build takes up less counter space than its competitors, it's powerful enough to chop any food ingredients you throw its way, and it boasts a portable bottle to take the finished product on the go. Oh, and the super photogenic design doesn't hurt either.",https://www.gq.com/gallery/best-graduation-gift-ideas,d02feb43-2f19-4184-b33f-7b673d7112ba,https://media.gq.com/photos/6427378e71f2881457441d68/1:1/w_320%2Cc_limit/Layer_10.jpg,Beast blender & hydration system, $166,https://thebeast.com/products/b10-full-system?variant=38188041568447,https://www.gq.com/gallery/best-graduation-gift-ideas
Amazon,So they can document it all.,https://www.gq.com/gallery/best-graduation-gift-ideas,abfe03b4-21e2-432f-a645-a0f8d126fb36,https://media.gq.com/photos/64273b9e3c48a90834709088/1:1/w_320%2Cc_limit/Layer_12.jpg,Fujifilm Instax SQ1 instant camera,120,https://www.amazon.com/Fujifilm-Instax-Square-Instant-Camera/dp/B08G6B6V4X,https://www.gq.com/gallery/best-graduation-gift-ideas
Amazon,"Now that they're out of the house, they can play their music as loud as they want to.",https://www.gq.com/gallery/best-graduation-gift-ideas,d2385fd5-7a5f-4bd8-b14d-09979422b582,https://media.gq.com/photos/64273ba19c091f9746f4be6d/1:1/w_320%2Cc_limit/Layer_15.jpg,Bose portable home Bluetooth speaker, $319,https://www.amazon.com/Bose-Portable-Home-Speaker-Built/dp/B07VFKBQ3K?th=1,https://www.gq.com/gallery/best-graduation-gift-ideas
Our Place,A cookware twofer that handles most of the cooking needs you could conceivably have in a tiny apartment.,https://www.gq.com/gallery/best-graduation-gift-ideas,8e61d445-4881-482b-810c-325e2ce4798a,https://media.gq.com/photos/64273ba13c48a9083470908b/1:1/w_320%2Cc_limit/Layer_18.jpg,Our Place home cook duo, $250,https://fromourplace.com/products/home-cook-duo?perfect-pot=sage&pan=sage,https://www.gq.com/gallery/best-graduation-gift-ideas
Trade Coffee,"For those last minute deadlines and adrenaline-fueled days, they'll always need more coffee. This subscription of the good stuff ensures that their bean supplies are always topped up.",https://www.gq.com/gallery/best-graduation-gift-ideas,c4c5a77d-b109-4248-8710-035c4f6e2f4b,https://media.gq.com/photos/64273da9065275fa16fc621f/1:1/w_320%2Cc_limit/Layer_2.jpg,Trade Coffee subscription,78,https://www.drinktrade.com/,https://www.gq.com/gallery/best-graduation-gift-ideas
Smythson,For all of the stamps they'll rack up on their post-grad adventures.,https://www.gq.com/gallery/best-graduation-gift-ideas,f2125df7-2d9f-46bd-a3b2-e4bdf7307659,https://media.gq.com/photos/64273dab3c48a9083470908d/1:1/w_320%2Cc_limit/Layer_5.jpg,Smythson passport cover,210,https://www.smythson.com/us/navy-passport-cover-in-mara-1029905.html?cgid=9A14,https://www.gq.com/gallery/best-graduation-gift-ideas
Artifact Uprising,"If you're going the sentimental route, Artifact Uprising makes some of the best-looking scrapbooks for stuffing with all the school photos and memorabilia.",https://www.gq.com/gallery/best-graduation-gift-ideas,c1ddb639-e76d-4ce1-b3dd-6d4953233eb3,https://media.gq.com/photos/64273dadc74f024305c7f00f/1:1/w_320%2Cc_limit/Layer_8.jpg,Artifact Uprising everyday photo book,62,https://www.artifactuprising.com/photo-books/everyday-photo-book,https://www.gq.com/gallery/best-graduation-gift-ideas
East Fork,All of the sleek ceramics that a person wants to pad out their dorm or first sublet.,https://www.gq.com/gallery/best-graduation-gift-ideas,b9069d52-1217-4532-ad83-db4aa9b3296b,https://media.gq.com/photos/642740a171f2881457441d78/1:1/w_320%2Cc_limit/Layer_3.jpg,"East Fork ""you're all set"" 7-piece set", $193,https://www.eastfork.com/products/7-piece-set?variant=39278858305615,https://www.gq.com/gallery/best-graduation-gift-ideas
Amazon,Some would say it's life-changing for getting your shit together.,https://www.gq.com/gallery/best-graduation-gift-ideas,821d7f07-4b43-4a1a-9859-1c2908af71ea,https://media.gq.com/photos/642740a257a6294c1b82d31e/1:1/w_320%2Cc_limit/Layer_5.jpg,"'Atomic Habits,' by James Clear",14,https://www.amazon.com/Atomic-Habits-Proven-Build-Break/dp/0735211299,https://www.gq.com/gallery/best-graduation-gift-ideas
