name,image_url,brand,product_source_url,description,price,giftsource_url,start_url,body_text
J.Crew rugby shirt,https://media.gq.com/photos/63f4f59d6f8d111dbd220047/1:1/w_320%2Cc_limit/Layer_10_art.jpg,J.Crew,https://www.jcrew.com/m/mens/categories/clothing/polos/rugby-polos/pre-order-rugby-shirt-in-solid/MP358,"One does not have to play rugby to wear a rugby shirt, especially when it looks so good on everyone.",98,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2LE4M6SKZHxFHs6NjfT1F4XJrtfNdE21hdopWWAs3n8xaHjU3XknxTJDJUw7AE465RHZuZheJVRzLAiw9zv4Cpn5AqVL4xRJ8tCF6P3tgwJQeU1KU9ZGpwue5yyfQXvcn,https://www.gq.com/gallery/gift-ideas-under-100-dollars,"You have a single Benjamin in your wallet—or bank account—and you need to buy a  gift . “Gifts under $100” seems like a sad place to look, but you can find a surprising amount of needles in this haystack that we call the internet. Look, we all  want  to buy people  cashmere  and  noise-cancelling AirPods , but spending gobs of cash on a gift (especially for someone you don't really know) isn't always realistic. Even the people you love the most can't push you to go into debt just to get them an expensive item. Cheap gifts can veer into terribly cheesy and terribly useless gag gift territory, but resist the urge to  Supermarket Sweep  your way through the mall—or worse, Starbucks—an hour before lift off, a.k.a the gift exchange. When you're shopping on a budget, like you are with your crisp $100 bill, you have to get creative—or turn to us to get you the gifts that'll please, joy, and excite. And to top it all off, get  the nice wrapping paper  to seal that deal that you aren't a cheap bastard and you do, in fact, care. Here are some great gifts under $100 that'll keep some cash in your wallet and you in the good graces of your giftee."
America the Beautiful pass,https://media.gq.com/photos/641c65cce2ff433bc75bebba/1:1/w_320%2Cc_limit/America-the-Beautiful-pass.jpg,REI,https://www.rei.com/product/208992/america-the-beautiful-pass-20222023,Long live the family road trip.,80,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2L393fsegpy9PsAnxXfin86CDEX6EMCyuuuQvxvvzB6bapSLHpLVMaeMQX3TSLMMCWJhDNivVTtYJ2AR2m2K7sQML3MbaKwFYenVtXG44fS13ex2mLuEWwAdCp12eazkN,https://www.gq.com/gallery/gift-ideas-under-100-dollars,"You have a single Benjamin in your wallet—or bank account—and you need to buy a  gift . “Gifts under $100” seems like a sad place to look, but you can find a surprising amount of needles in this haystack that we call the internet. Look, we all  want  to buy people  cashmere  and  noise-cancelling AirPods , but spending gobs of cash on a gift (especially for someone you don't really know) isn't always realistic. Even the people you love the most can't push you to go into debt just to get them an expensive item. Cheap gifts can veer into terribly cheesy and terribly useless gag gift territory, but resist the urge to  Supermarket Sweep  your way through the mall—or worse, Starbucks—an hour before lift off, a.k.a the gift exchange. When you're shopping on a budget, like you are with your crisp $100 bill, you have to get creative—or turn to us to get you the gifts that'll please, joy, and excite. And to top it all off, get  the nice wrapping paper  to seal that deal that you aren't a cheap bastard and you do, in fact, care. Here are some great gifts under $100 that'll keep some cash in your wallet and you in the good graces of your giftee."
Birkenstock Super-Birki,https://media.gq.com/photos/63f4f598ff12f6c9e2fa77cc/1:1/w_320%2Cc_limit/Layer_4_art.jpg,Birkenstock,https://www.birkenstock.com/us/super-birki/superbirki-core-polyurethane-0-pu-u_5.html,"While everyone's going crazy over the Boston clog, go under the radar with the epic Super-Birki.",80,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2LE4M6SKZHZqEQYQWfehsJPt6bwFkeW32nf3kDgHpfkqKLqMkCvG7Gm1czS4VA3QJr81vbNKbg1eWuZmpP7czLEwD4FG314KJifdm1ruLfn943u6QNgerHCzcKS2d2MLA,https://www.gq.com/gallery/gift-ideas-under-100-dollars,"You have a single Benjamin in your wallet—or bank account—and you need to buy a  gift . “Gifts under $100” seems like a sad place to look, but you can find a surprising amount of needles in this haystack that we call the internet. Look, we all  want  to buy people  cashmere  and  noise-cancelling AirPods , but spending gobs of cash on a gift (especially for someone you don't really know) isn't always realistic. Even the people you love the most can't push you to go into debt just to get them an expensive item. Cheap gifts can veer into terribly cheesy and terribly useless gag gift territory, but resist the urge to  Supermarket Sweep  your way through the mall—or worse, Starbucks—an hour before lift off, a.k.a the gift exchange. When you're shopping on a budget, like you are with your crisp $100 bill, you have to get creative—or turn to us to get you the gifts that'll please, joy, and excite. And to top it all off, get  the nice wrapping paper  to seal that deal that you aren't a cheap bastard and you do, in fact, care. Here are some great gifts under $100 that'll keep some cash in your wallet and you in the good graces of your giftee."
Fellow Stagg [XF] pour-over set,https://media.gq.com/photos/63f4f59a275d2fef78a427e0/1:1/w_320%2Cc_limit/Layer_7.jpg,SSENSE,https://www.ssense.com/en-us/everything-else/product/fellow/black-stagg-xf-pour-over-set/8404071,Something good is brewing.,100,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2LE4M6SKZJ3LaVDvSskUkjmUVEnsjgssrtVAQbnGSSRA44AqgiyYS9oiBZ5iMYXytEkmujZuDRWgawx4dtbPusyCSZSbQ7qcu2KX7e8HxXdTzSSfWxbZiTmTYcZvs5czz,https://www.gq.com/gallery/gift-ideas-under-100-dollars,"You have a single Benjamin in your wallet—or bank account—and you need to buy a  gift . “Gifts under $100” seems like a sad place to look, but you can find a surprising amount of needles in this haystack that we call the internet. Look, we all  want  to buy people  cashmere  and  noise-cancelling AirPods , but spending gobs of cash on a gift (especially for someone you don't really know) isn't always realistic. Even the people you love the most can't push you to go into debt just to get them an expensive item. Cheap gifts can veer into terribly cheesy and terribly useless gag gift territory, but resist the urge to  Supermarket Sweep  your way through the mall—or worse, Starbucks—an hour before lift off, a.k.a the gift exchange. When you're shopping on a budget, like you are with your crisp $100 bill, you have to get creative—or turn to us to get you the gifts that'll please, joy, and excite. And to top it all off, get  the nice wrapping paper  to seal that deal that you aren't a cheap bastard and you do, in fact, care. Here are some great gifts under $100 that'll keep some cash in your wallet and you in the good graces of your giftee."
Everlane heavyweight overshirt,https://media.gq.com/photos/63939770773db5bdb691e395/1:1/w_320%2Cc_limit/everlane.jpg,Everlane,https://www.everlane.com/products/mens-heavyweight-overshirt-navy?collection=mens-all,Classic doesn't have to be expensive.,98,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2L3bqoJzrVqjr7YWaqhUWTUoXWwcumkYNfbiDtemDDJm3kbrN6JVntrnJn1D92vS6xjf2q3iMSx85nY5JM6rG2dEDLLS5YzbSbb2dFgfCzqhUD3KLUKNQiKC4FP98mGiz,https://www.gq.com/gallery/gift-ideas-under-100-dollars,"You have a single Benjamin in your wallet—or bank account—and you need to buy a  gift . “Gifts under $100” seems like a sad place to look, but you can find a surprising amount of needles in this haystack that we call the internet. Look, we all  want  to buy people  cashmere  and  noise-cancelling AirPods , but spending gobs of cash on a gift (especially for someone you don't really know) isn't always realistic. Even the people you love the most can't push you to go into debt just to get them an expensive item. Cheap gifts can veer into terribly cheesy and terribly useless gag gift territory, but resist the urge to  Supermarket Sweep  your way through the mall—or worse, Starbucks—an hour before lift off, a.k.a the gift exchange. When you're shopping on a budget, like you are with your crisp $100 bill, you have to get creative—or turn to us to get you the gifts that'll please, joy, and excite. And to top it all off, get  the nice wrapping paper  to seal that deal that you aren't a cheap bastard and you do, in fact, care. Here are some great gifts under $100 that'll keep some cash in your wallet and you in the good graces of your giftee."
Airbnb gift card,https://media.gq.com/photos/6393957cd9388d6d80f543ca/1:1/w_320%2Cc_limit/Layer_12.jpg,Airbnb,https://airbnb.launchgiftcards.com/,"You probably can't secure a weekend getaway with $100, but you can at least get it started.",100,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2L3bqoJzt8U18pZhtdYyUmgf3ZKCF4mHUf8s5Xtj9kEUyfBVH8xC4QnxnXvwq1WNvTiHjbvfqiekKm4MnMSQRP5URok7XWW9KvK3MQXsCN7ycMui6nRH4mnyqTJwdS5ti,https://www.gq.com/gallery/gift-ideas-under-100-dollars,"You have a single Benjamin in your wallet—or bank account—and you need to buy a  gift . “Gifts under $100” seems like a sad place to look, but you can find a surprising amount of needles in this haystack that we call the internet. Look, we all  want  to buy people  cashmere  and  noise-cancelling AirPods , but spending gobs of cash on a gift (especially for someone you don't really know) isn't always realistic. Even the people you love the most can't push you to go into debt just to get them an expensive item. Cheap gifts can veer into terribly cheesy and terribly useless gag gift territory, but resist the urge to  Supermarket Sweep  your way through the mall—or worse, Starbucks—an hour before lift off, a.k.a the gift exchange. When you're shopping on a budget, like you are with your crisp $100 bill, you have to get creative—or turn to us to get you the gifts that'll please, joy, and excite. And to top it all off, get  the nice wrapping paper  to seal that deal that you aren't a cheap bastard and you do, in fact, care. Here are some great gifts under $100 that'll keep some cash in your wallet and you in the good graces of your giftee."
Snif Suganami,https://media.gq.com/photos/6398dc65bc6a1795267e18fb/1:1/w_320%2Cc_limit/Snif-Suganami.png,Snif,https://snif.co/products/suganami,"A musky, woodsy, and spicy blend from Snif that has “new signature scent” written all over it.",65,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2L3c7adKFwFEGEMufvCTVVDCJdAczhE7DZAoTT4goFM8ttm8aZ7zLZedrtXK3H45Tu81Uma66rQe7kkTgKpEdM8JXeDMxfkrknxDoYkNDMBat2vMsD9UzoZ9rK5VtwfzE,https://www.gq.com/gallery/gift-ideas-under-100-dollars,"You have a single Benjamin in your wallet—or bank account—and you need to buy a  gift . “Gifts under $100” seems like a sad place to look, but you can find a surprising amount of needles in this haystack that we call the internet. Look, we all  want  to buy people  cashmere  and  noise-cancelling AirPods , but spending gobs of cash on a gift (especially for someone you don't really know) isn't always realistic. Even the people you love the most can't push you to go into debt just to get them an expensive item. Cheap gifts can veer into terribly cheesy and terribly useless gag gift territory, but resist the urge to  Supermarket Sweep  your way through the mall—or worse, Starbucks—an hour before lift off, a.k.a the gift exchange. When you're shopping on a budget, like you are with your crisp $100 bill, you have to get creative—or turn to us to get you the gifts that'll please, joy, and excite. And to top it all off, get  the nice wrapping paper  to seal that deal that you aren't a cheap bastard and you do, in fact, care. Here are some great gifts under $100 that'll keep some cash in your wallet and you in the good graces of your giftee."
Buck Mason rugby crew,https://media.gq.com/photos/63939578530066b17810963d/1:1/w_320%2Cc_limit/Layer_7.jpg,Buck Mason,https://www.buckmason.com/products/jet-field-spec-rugby-crew,"If you haven't already spread the gospel of Buck Mason t-shirts, the holidays are the perfect excuse.",78,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2L3bqoJzt86YUnpbRp2ni982iP9QykpVxQSyLJ9dGJXjp6w3eWJQ8SALMNrMYRZhMDFuntQY8xdPZxGibHr2xVq6fEZUMYBCucbwwW5bdr9c2FwwoxNX4Mfjh1cwNAXzN,https://www.gq.com/gallery/gift-ideas-under-100-dollars,"You have a single Benjamin in your wallet—or bank account—and you need to buy a  gift . “Gifts under $100” seems like a sad place to look, but you can find a surprising amount of needles in this haystack that we call the internet. Look, we all  want  to buy people  cashmere  and  noise-cancelling AirPods , but spending gobs of cash on a gift (especially for someone you don't really know) isn't always realistic. Even the people you love the most can't push you to go into debt just to get them an expensive item. Cheap gifts can veer into terribly cheesy and terribly useless gag gift territory, but resist the urge to  Supermarket Sweep  your way through the mall—or worse, Starbucks—an hour before lift off, a.k.a the gift exchange. When you're shopping on a budget, like you are with your crisp $100 bill, you have to get creative—or turn to us to get you the gifts that'll please, joy, and excite. And to top it all off, get  the nice wrapping paper  to seal that deal that you aren't a cheap bastard and you do, in fact, care. Here are some great gifts under $100 that'll keep some cash in your wallet and you in the good graces of your giftee."
Gir 5-piece ultimate tool set,https://media.gq.com/photos/6393957e1fbe2ee5546c1d10/1:1/w_320%2Cc_limit/Layer_16.jpg,Nordstrom,https://www.nordstrom.com/s/5-piece-ultimate-tool-set/7104567,For the host or home chef with surprisingly few cooking utensils.,51,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2L3bqoJzt9VjSZafrVFjDVayQJDsqvhaMPAkD9xRtxovGTkTTY18c6aDLV9kbaDEAWtnVrTq5hVKTPU5YQEXwzGZ5NjsGZpB91iTfrkP4tPpHGYbbeus5Nx9eQMBNpSsp,https://www.gq.com/gallery/gift-ideas-under-100-dollars,"You have a single Benjamin in your wallet—or bank account—and you need to buy a  gift . “Gifts under $100” seems like a sad place to look, but you can find a surprising amount of needles in this haystack that we call the internet. Look, we all  want  to buy people  cashmere  and  noise-cancelling AirPods , but spending gobs of cash on a gift (especially for someone you don't really know) isn't always realistic. Even the people you love the most can't push you to go into debt just to get them an expensive item. Cheap gifts can veer into terribly cheesy and terribly useless gag gift territory, but resist the urge to  Supermarket Sweep  your way through the mall—or worse, Starbucks—an hour before lift off, a.k.a the gift exchange. When you're shopping on a budget, like you are with your crisp $100 bill, you have to get creative—or turn to us to get you the gifts that'll please, joy, and excite. And to top it all off, get  the nice wrapping paper  to seal that deal that you aren't a cheap bastard and you do, in fact, care. Here are some great gifts under $100 that'll keep some cash in your wallet and you in the good graces of your giftee."
Ariela marble taper holder,https://media.gq.com/photos/6393969dfc12dc745dfd173a/1:1/w_320%2Cc_limit/Screen_Shot_2022-12-09_at_3.jpg,Leif,https://www.leifshop.com/collections/new-arrivals/products/ariella-taper-holder?variant=39858269978718,This marble centerpiece would look handsome in every type of home.,48,https://cna.st/p/2h8zKZvUAqv9ZECiJVQonAw2HCidgkTLkFZ19xJWT6LS9jBET2L3bqoJzt9VCqDmL5zeBVEJQwFqebMEwostyQBwFgpE9HsobDGmWhRvnKMLcvmovdgnvZ9Sx3oYrVyR3Ws3GYxbp8EXXe8JX65znX72pu1pV1eALF5nxZWpouHQoNzzCv,https://www.gq.com/gallery/gift-ideas-under-100-dollars,"You have a single Benjamin in your wallet—or bank account—and you need to buy a  gift . “Gifts under $100” seems like a sad place to look, but you can find a surprising amount of needles in this haystack that we call the internet. Look, we all  want  to buy people  cashmere  and  noise-cancelling AirPods , but spending gobs of cash on a gift (especially for someone you don't really know) isn't always realistic. Even the people you love the most can't push you to go into debt just to get them an expensive item. Cheap gifts can veer into terribly cheesy and terribly useless gag gift territory, but resist the urge to  Supermarket Sweep  your way through the mall—or worse, Starbucks—an hour before lift off, a.k.a the gift exchange. When you're shopping on a budget, like you are with your crisp $100 bill, you have to get creative—or turn to us to get you the gifts that'll please, joy, and excite. And to top it all off, get  the nice wrapping paper  to seal that deal that you aren't a cheap bastard and you do, in fact, care. Here are some great gifts under $100 that'll keep some cash in your wallet and you in the good graces of your giftee."
